run_name,selected_epoch,mean_source_validation_accuracy,worst_source_validation_accuracy,mean_source_validation_macro_f1,worst_source_validation_macro_f1,source_domain_separability,sharpness_loss_increase,target_accuracy,target_macro_f1,target_accuracy_change_vs_erm,target_macro_f1_change_vs_erm
erm,5,0.9420876381305723,0.9146341463414634,0.9400823188010742,0.9124889960433283,0.8504983388704319,0.2254984825849533,0.6828709595316874,0.6727403961788129,0.0,0.0
dan_dg_lambda0_1,5,0.9411723539244253,0.9097560975609756,0.9401550041745041,0.9121928076641733,0.7541528239202658,1.6264426708221436,0.6917790786459659,0.7138213436466235,0.008908119114278468,0.04108094746781066
dan_dg,8,0.9131067834687897,0.8682926829268293,0.908149413392563,0.8643519190997989,0.6212624584717608,83.4487075805664,0.5548485619750573,0.4479052724923337,-0.12802239755663014,-0.22483512368647918
dan_dg_lambda10,4,0.21656837139595686,0.17270788912579957,0.05066996495567924,0.04207792207792208,0.6677740863787376,6.642357349395752,0.04072283023670145,0.011179820424134438,-0.642148129294986,-0.6615605757546784
sam,8,0.9556259990290364,0.9219512195121952,0.9551928209681728,0.922728056637144,0.840531561461794,0.16180770099163055,0.7200305421226775,0.7528117670132344,0.03715958259099006,0.0800713708344215
