run_name,method,class_name,precision,recall,f1,support
erm,ERM,dog,0.8081632653061225,0.25647668393782386,0.3893805309734513,772
erm,ERM,elephant,0.5109540636042402,0.977027027027027,0.6709976798143852,740
erm,ERM,giraffe,0.7808896210873146,0.6294820717131474,0.6970588235294117,753
erm,ERM,guitar,0.9813084112149533,0.8634868421052632,0.9186351706036745,608
erm,ERM,horse,0.6480730223123732,0.7830882352941176,0.709211986681465,816
erm,ERM,house,0.9772727272727273,0.5375,0.6935483870967742,80
erm,ERM,person,0.8350515463917526,0.50625,0.6303501945525292,160
dan_dg_lambda0_1,DAN-DG (λ=0.1),dog,0.4701429772918419,0.7240932642487047,0.5701172870984191,772
dan_dg_lambda0_1,DAN-DG (λ=0.1),elephant,0.7690355329949239,0.40945945945945944,0.5343915343915344,740
dan_dg_lambda0_1,DAN-DG (λ=0.1),giraffe,0.6871980676328503,0.7556440903054449,0.7197975964579381,753
dan_dg_lambda0_1,DAN-DG (λ=0.1),guitar,0.9632867132867133,0.90625,0.9338983050847458,608
dan_dg_lambda0_1,DAN-DG (λ=0.1),horse,0.7625994694960212,0.7046568627450981,0.732484076433121,816
dan_dg_lambda0_1,DAN-DG (λ=0.1),house,0.9807692307692307,0.6375,0.7727272727272727,80
dan_dg_lambda0_1,DAN-DG (λ=0.1),person,0.7857142857142857,0.6875,0.7333333333333333,160
dan_dg,DAN-DG (λ=1),dog,0.9230769230769231,0.06217616580310881,0.11650485436893204,772
dan_dg,DAN-DG (λ=1),elephant,0.4517994858611825,0.95,0.6123693379790941,740
dan_dg,DAN-DG (λ=1),giraffe,0.6158730158730159,0.7729083665338645,0.6855123674911661,753
dan_dg,DAN-DG (λ=1),guitar,0.995850622406639,0.7894736842105263,0.8807339449541285,608
dan_dg,DAN-DG (λ=1),horse,0.8273809523809523,0.34068627450980393,0.4826388888888889,816
dan_dg,DAN-DG (λ=1),house,0.1553398058252427,1.0,0.2689075630252101,80
dan_dg,DAN-DG (λ=1),person,0.20930232558139536,0.05625,0.08866995073891626,160
sam,SAM (ρ=0.05),dog,0.5661577608142494,0.5764248704663213,0.5712451861360719,772
sam,SAM (ρ=0.05),elephant,0.5538579067990833,0.9797297297297297,0.7076622742801366,740
sam,SAM (ρ=0.05),giraffe,0.931640625,0.6334661354581673,0.7541501976284585,753
sam,SAM (ρ=0.05),guitar,0.9657534246575342,0.9276315789473685,0.9463087248322147,608
sam,SAM (ρ=0.05),horse,0.8702594810379242,0.5343137254901961,0.6621108580106302,816
sam,SAM (ρ=0.05),house,0.9868421052631579,0.9375,0.9615384615384616,80
sam,SAM (ρ=0.05),person,0.6645962732919255,0.66875,0.6666666666666666,160
