run_name,target_accuracy,target_macro_f1,task,method
source_only,0.6828709595316874,0.6727403961788129,Task 2 adaptation,ERM
dan,0.6691270043268007,0.631887082823712,Task 2 adaptation,DAN
dann,0.3705777551539832,0.4622423190874457,Task 2 adaptation,DANN
cdan,0.2104861287859506,0.070492296365567,Task 2 adaptation,CDAN
erm,0.6828709595316874,0.6727403961788129,Task 3 generalization,ERM
dan_dg_lambda0_1,0.6917790786459659,0.7138213436466235,Task 3 generalization,DAN-DG (λ=0.1)
dan_dg,0.5548485619750573,0.4479052724923337,Task 3 generalization,DAN-DG (λ=1)
sam,0.7200305421226775,0.7528117670132344,Task 3 generalization,SAM (ρ=0.05)
