run_name,method,selected_epoch,photo_validation_accuracy,photo_validation_macro_f1,art_painting_validation_accuracy,art_painting_validation_macro_f1,cartoon_validation_accuracy,cartoon_validation_macro_f1,mean_source_validation_accuracy,mean_source_validation_macro_f1,target_accuracy,target_macro_f1,target_accuracy_change,domain_separability
source_only,source_only,5,0.9670658682634731,0.959265811587793,0.9146341463414634,0.9124889960433283,0.9445628997867804,0.9484921487721011,0.9420876381305723,0.9400823188010742,0.6828709595316874,0.6727403961788129,0.0,0.9972527472527473
dan,dan,11,0.9760479041916168,0.9715428732358303,0.9317073170731708,0.9365530547226825,0.9573560767590619,0.962122297567643,0.9550370993412832,0.9567394085087186,0.6691270043268007,0.631887082823712,-0.013743955204886693,0.7939560439560439
dann,dann,6,0.9580838323353293,0.9506206776782296,0.9195121951219513,0.9182328232186814,0.9488272921108742,0.9545341269970663,0.9421411065227182,0.9411292092979924,0.3705777551539832,0.46224231908744573,-0.3122932043777042,0.9945054945054945
cdan,cdan,6,0.9730538922155688,0.9671668165802157,0.9024390243902439,0.9035649341026737,0.9488272921108742,0.9520408417706081,0.9414400695722289,0.9409241974844992,0.21048612878595063,0.07049229636556704,-0.4723848307457368,0.9986263736263736
dan_lambda0_1,dan,3,0.9670658682634731,0.9608928319167858,0.9146341463414634,0.9121697712723361,0.9275053304904051,0.9325498626139638,0.9364017816984472,0.9352041552676952,0.6299312802239756,0.6157472820360071,-0.05293967930771182,0.9862637362637363
dan_lambda10,dan,1,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208,0.21656837139595686,0.05066996495567924,0.04072283023670145,0.011179820424134438,-0.642148129294986,0.679945054945055
