epoch,learning_rate,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1
1,0.09997532801828658,2.249114710150825,0.1942222222222222,1.7904419525146484,0.3142,0.2814097872455153
2,0.09990133642141358,1.7080072497049967,0.3645777777777778,1.5673539093017579,0.4344,0.3985905973763742
3,0.099778098230154,1.3695317414601644,0.5063555555555556,1.2951296520233155,0.5314,0.5336841850618079
4,0.0996057350657239,1.1433006516562567,0.5929777777777778,0.9657113525390625,0.657,0.647237332279081
5,0.09938441702975688,0.9596795763439603,0.6624888888888889,1.0900120960235595,0.6604,0.6591777312601239
6,0.09911436253643444,0.8426512747870551,0.7058,0.8531455665588379,0.716,0.7065300352691708
7,0.09879583809693737,0.7720497200965881,0.7314888888888889,0.8119553623199462,0.7302,0.721907303525966
8,0.09842915805643156,0.718805442958408,0.7492888888888889,0.6096682453155517,0.7938,0.7947035812542829
9,0.09801468428384716,0.6922724545902676,0.7601555555555556,0.7737662935256958,0.746,0.74369534831351
10,0.09755282581475769,0.6605648055712382,0.7714444444444445,0.7246496677398682,0.756,0.7546517623807442
11,0.09704403844771128,0.644084859000312,0.7777333333333334,0.7399118350982666,0.7476,0.7433208364402459
12,0.09648882429441258,0.6261030432701111,0.7823333333333333,0.5631062829971314,0.8132,0.8103014331347351
13,0.09588773128419906,0.6073815530194177,0.7914888888888889,0.5217621700286865,0.8206,0.8168896379122883
14,0.09524135262330098,0.5884647923787435,0.7951777777777778,0.5658749046325684,0.8194,0.8211935591840593
15,0.0945503262094184,0.5772096637831794,0.8017111111111112,0.47701601066589355,0.8374,0.8365897470044231
16,0.09381533400219319,0.5647767375734117,0.8068222222222222,0.5165002514839172,0.8242,0.8264516345244921
17,0.0930371013501972,0.5515511742909749,0.8112,0.7900482427597046,0.748,0.7525468414686312
18,0.09221639627510078,0.5433351138538784,0.8135333333333333,0.875881937789917,0.7418,0.7477038575870482
19,0.09135402871372812,0.5317042468176948,0.8171111111111111,0.7206280996322632,0.7674,0.7659899757254334
20,0.09045084971874741,0.5233610574934218,0.8216666666666667,0.5079710048675538,0.8246,0.8240062415611613
21,0.08950775061878455,0.5195727042833964,0.8222888888888888,0.43910794763565064,0.852,0.8512066039507596
22,0.0885256621387895,0.5087916723993089,0.8251333333333334,0.47022501893043517,0.8394,0.8403974665609889
23,0.08750555348152302,0.49975561589135065,0.8285555555555556,0.472774943113327,0.8476,0.8481530600940619
24,0.08644843137107061,0.498461961640252,0.8292444444444445,0.565312744140625,0.8194,0.8221562114244965
25,0.0853553390593274,0.483903753762775,0.8318888888888889,0.5199425978660583,0.826,0.8268767822686094
26,0.08422735529643446,0.486257675743103,0.8328888888888889,0.5124352676391601,0.836,0.8354235432458653
27,0.08306559326618262,0.4751519805378384,0.8377777777777777,0.6422727428436279,0.7952,0.7940881830912929
28,0.08187119948743452,0.4656476088523865,0.8416666666666667,0.6204700549602509,0.802,0.7990707287383396
29,0.08064535268264886,0.4609596208890279,0.8419111111111112,0.6438769285202026,0.791,0.7946249708871731
30,0.0793892626146237,0.46443976932101777,0.8402,0.6310170627593994,0.7952,0.7928168149177595
31,0.07810416889260657,0.45492030284669666,0.8451333333333333,0.49224282722473145,0.8386,0.8380978531967227
32,0.07679133974894986,0.44735446241696675,0.8478,0.42643083477020266,0.8558,0.856649774764558
33,0.0754520707875186,0.4445125122918023,0.8488666666666667,0.43823291339874265,0.8522,0.8509981246779732
34,0.0740876837050858,0.4390600496557024,0.8492222222222222,0.4679138533592224,0.8452,0.8447942943720106
35,0.07269952498697738,0.43193298136393227,0.8525111111111111,0.40383869047164916,0.8652,0.8634927886711861
36,0.07128896457825366,0.4251263313293457,0.8538666666666667,0.42125160274505613,0.8582,0.8570650886066618
37,0.06985739453173906,0.41710559759140015,0.8584888888888889,0.46962271671295164,0.8434,0.846903997832887
38,0.06840622763423394,0.4144429155137804,0.8590666666666666,0.42994571800231934,0.8584,0.8573753313705034
39,0.06693689601226462,0.4127494241714478,0.8590666666666666,0.41191440477371216,0.863,0.8638244349792764
40,0.06545084971874741,0.4078575828181373,0.8599555555555556,0.45048625850677493,0.8508,0.8503542853474695
41,0.06394955530196152,0.394794750907686,0.866,0.39155845699310304,0.8696,0.8704747203323684
42,0.062434494358242776,0.391253019756741,0.8664888888888889,0.40972832469940185,0.8672,0.8679922946120511
43,0.06090716206982718,0.39223014316558835,0.8667333333333334,0.5692876840591431,0.8136,0.8171793106927765
44,0.05936906572928628,0.37717985322740344,0.8711111111111111,0.47187985305786134,0.8426,0.8371797514764143
45,0.05782172325201159,0.3806130282402039,0.8701555555555556,0.3471924201965332,0.882,0.8819364349252184
46,0.056266661678215264,0.3675633151054382,0.8747111111111111,0.3869725439071655,0.8736,0.8733325135301422
47,0.05470541566592575,0.36162265485127765,0.8778222222222222,0.37181644515991213,0.8756,0.875493675947858
48,0.053139525976465714,0.3569706174691518,0.8782888888888889,0.32084027783870694,0.8878,0.8879478118295687
