epoch,learning_rate,train_total_loss,train_classifier_placeholder_loss,train_classification_loss,train_runner_up_dummy_loss,train_data_placeholder_loss,train_mean_mixup_lambda,validation_loss,validation_accuracy,validation_macro_f1
1,0.0009990133642141358,0.5087725210295783,0.22971945962376064,0.08809381229612562,0.1416256473534637,2.7905305609173245,0.4990461204210917,0.1977463515639305,0.9482,0.948312822428002
2,0.000996057350657239,0.3231243393474155,0.1205980693605211,0.10478359655804104,0.01581447279204925,2.025262664137946,0.49781247460047406,0.19259014813899994,0.9442,0.9443408074199034
3,0.0009911436253643444,0.30095952161153156,0.11702268991205428,0.10321862843301562,0.013804061509172122,1.8393682792663575,0.5012904177718692,0.2313980979204178,0.9346,0.9347681874770117
4,0.0009842915805643156,0.26891883489290874,0.11340676021046109,0.09932948922051324,0.01407727096411917,1.5551207242329916,0.49878571725421483,0.3008274392127991,0.9184,0.9183277147881462
5,0.0009755282581475769,0.2060910760667589,0.10759875826835633,0.08971388989024692,0.017884868390030333,0.9849231577608321,0.499737775654263,0.33412556056976317,0.911,0.9115719484271538
6,0.0009648882429441258,0.11295281022787095,0.07755810992452833,0.05672667291561762,0.02083143696354495,0.3539469947417577,0.4987333443641663,0.3250670739173889,0.9178,0.9179427611856301
7,0.0009524135262330099,0.07148765363163419,0.05426708314352565,0.036635937201976776,0.01763114590065347,0.17220570440292357,0.5000011855178409,0.3161525836467743,0.9228,0.9229196008851501
8,0.0009381533400219318,0.059098608762025835,0.0478039473745558,0.0314313066151407,0.01637264075792498,0.11294661337799496,0.5024068112479316,0.3039990795135498,0.9214,0.9212962403741489
9,0.0009221639627510075,0.04983605065809356,0.04051510175863902,0.026379952896303602,0.01413514887591203,0.0932094893111123,0.5013151880900065,0.33965304074287417,0.9224,0.9226226814302005
10,0.0009045084971874736,0.042020183120833506,0.034452296396096545,0.022026719210876358,0.012425577185220188,0.07567886710829205,0.5004686921225654,0.39207679862976075,0.9154,0.9159765699725174
11,0.0008852566213878945,0.03648871946500407,0.03007788918912411,0.019337761847509276,0.01074012734086977,0.06410830271641413,0.498258182281918,0.3514689652442932,0.9252,0.9256003916006232
12,0.0008644843137107056,0.03395545569691393,0.028186763773361843,0.01802520439889696,0.01016155937520994,0.0576869199819035,0.4971538282818264,0.3431054102897644,0.9202,0.9207387468560052
13,0.0008422735529643443,0.029886578430069817,0.024726239287853242,0.01583460565176275,0.008891633637580606,0.051603391129440734,0.5006400410122341,0.3628437117099762,0.9208,0.9213087212241347
14,0.0008187119948743448,0.028534896302223205,0.023906133369604746,0.015291087142626444,0.008615046257277329,0.04628762914074792,0.4981582922405667,0.41683383989334105,0.9164,0.9162746061709679
15,0.0007938926261462366,0.02865974707139863,0.024146216903792487,0.015491110344727834,0.008655106544660198,0.04513530159062809,0.4977222307258182,0.3580106348991394,0.923,0.92322963730546
