epoch,learning_rate,train_total_loss,train_classifier_placeholder_loss,train_classification_loss,train_runner_up_dummy_loss,train_data_placeholder_loss,train_mean_mixup_lambda,validation_loss,validation_accuracy,validation_macro_f1
36,0.00018128800512565502,0.013084154733022053,0.01102795642349455,0.006673105722665787,0.004354850700000922,0.020561983099248674,0.5021299869113498,0.43525345797538756,0.9222,0.922433136110131
37,0.00015772644703565555,0.012979459903306432,0.010928811506761445,0.006710516659335958,0.004218294853468736,0.02050648418996069,0.4999592546251085,0.42094985933303836,0.9238,0.9239931187668583
38,0.00013551568628929425,0.013396211623979939,0.011360444020231565,0.007109794664217366,0.004250649377952019,0.020357675806681314,0.498721797185474,0.4276783062934876,0.9274,0.9278432673841557
39,0.00011474337861210535,0.01394941880752643,0.01192205013765229,0.007370548190176487,0.004551501968296037,0.020273686757683755,0.49934620735380386,0.4521757130622864,0.9232,0.923634871365407
40,9.549150281252626e-05,0.014554550471570756,0.012538020945919885,0.007819276721609963,0.004718744234906302,0.02016529555718104,0.5012936072985331,0.4483738255500793,0.9264,0.9265289660343393
41,7.783603724899252e-05,0.012274154378970463,0.010286685302439664,0.006255401086558898,0.004031284221178956,0.019874690395262507,0.4989485716766781,0.4355282611846924,0.9218,0.9221516895059558
42,6.184665997806817e-05,0.013504686051275996,0.011524910243352254,0.007233238649616639,0.004291671610002716,0.01979775775372982,0.5016147129800584,0.41196540298461914,0.9278,0.9280821232387033
43,4.7586473766990294e-05,0.013656917376319567,0.011687712794542313,0.007244479608535767,0.0044432331557075185,0.0196920456469059,0.5001488758563996,0.4428252049446106,0.9204,0.9206545591914365
44,3.5111757055874305e-05,0.01240574901666906,0.010446024973193805,0.006512300782402357,0.003933724191536506,0.019597240867548518,0.5039113891389635,0.44814009823799134,0.9208,0.9211571339999278
45,2.4471741852423218e-05,0.01242611741423607,0.010486764271391762,0.006491594637930393,0.003995169644802809,0.01939353144996696,0.49868807322184244,0.44749431142807006,0.9206,0.9212749672162215
46,1.5708419435684507e-05,0.01290140874783198,0.010977195014887385,0.006754929866393407,0.004222265122003025,0.019242137229773734,0.5005176419417063,0.4436638144493103,0.9258,0.9264344108889029
47,8.856374635655634e-06,0.011871108420689901,0.009937733443246947,0.006009129433499442,0.0039286039885547425,0.01933374965455797,0.500341969982783,0.4047104202270508,0.9278,0.9279325376039701
48,3.942649342761115e-06,0.012664619817667538,0.010716997935705715,0.006578081629176935,0.004138916328094072,0.01947621875769562,0.5007078778266907,0.4091782103538513,0.9262,0.9265305772605682
49,9.866357858642198e-07,0.012933892163468732,0.010999238501323593,0.00676016723861297,0.004239071273679534,0.019346536725097233,0.4990223493629032,0.44522439346313475,0.9244,0.924645995642311
50,0.0,0.013387594465911389,0.011462590890460544,0.007034872160851955,0.004427718729608589,0.01925003562503391,0.49972994849416946,0.4236624613761902,0.9236,0.9239984559162439
