run_name,display_name,method,score,selected_epoch,known_test_accuracy,known_test_macro_f1,threshold,known_test_acceptance,near_rejection,far_rejection,all_unknown_rejection,near_fpr_at_95_tpr,far_fpr_at_95_tpr,all_unknown_fpr_at_95_tpr,known_vs_near_auroc,known_vs_far_auroc,known_vs_all_auroc
vanilla_mls,Vanilla MLS,vanilla,mls,95,0.9471,0.9470819980237491,-5.951216053962705,0.9481,0.33625,0.5275,0.431875,0.6637500000000001,0.4725,0.568125,0.7988998749999999,0.8886543750000001,0.8437771250000001
gcsc_mls,GCSC MLS,gcsc,mls,96,0.9513,0.951277471241546,-6.208876919746399,0.9453,0.3975,0.60375,0.500625,0.6025,0.39625,0.499375,0.8256330625,0.904359625,0.86499634375
proser_mls,PROSER MLS,proser,mls,1,0.944,0.944063174249554,-4.358385872840881,0.9514,0.27125,0.39625,0.33375,0.72875,0.60375,0.66625,0.7906890624999999,0.849033375,0.8198612187500001
proser_placeholder,PROSER placeholder,proser,placeholder,1,0.944,0.944063174249554,7.306970655918121e-05,0.9523,0.27125,0.47,0.370625,0.72875,0.53,0.629375,0.7839600625000002,0.8830691875,0.8335146250000001
