run_name,method,class_name,precision,recall,f1,support
source_only,Source-only,dog,0.8081632653061225,0.25647668393782386,0.3893805309734513,772
source_only,Source-only,elephant,0.5109540636042402,0.977027027027027,0.6709976798143852,740
source_only,Source-only,giraffe,0.7808896210873146,0.6294820717131474,0.6970588235294117,753
source_only,Source-only,guitar,0.9813084112149533,0.8634868421052632,0.9186351706036745,608
source_only,Source-only,horse,0.6480730223123732,0.7830882352941176,0.709211986681465,816
source_only,Source-only,house,0.9772727272727273,0.5375,0.6935483870967742,80
source_only,Source-only,person,0.8350515463917526,0.50625,0.6303501945525292,160
dan,DAN (lambda=1),dog,0.5670103092783505,0.49870466321243523,0.5306685044796692,772
dan,DAN (lambda=1),elephant,0.8507936507936508,0.7243243243243244,0.7824817518248175,740
dan,DAN (lambda=1),giraffe,0.9078014184397163,0.6799468791500664,0.7775246772968869,753
dan,DAN (lambda=1),guitar,0.9942307692307693,0.850328947368421,0.9166666666666666,608
dan,DAN (lambda=1),horse,0.9219712525667351,0.5502450980392157,0.6891788181120491,816
dan,DAN (lambda=1),house,0.2359882005899705,1.0,0.3818615751789976,80
dan,DAN (lambda=1),person,0.2112676056338028,0.9375,0.3448275862068966,160
dann,DANN,dog,0.4870967741935484,0.1955958549222798,0.27911275415896486,772
dann,DANN,elephant,0.8421052631578947,0.10810810810810811,0.19161676646706588,740
dann,DANN,giraffe,0.865546218487395,0.4103585657370518,0.5567567567567567,753
dann,DANN,guitar,0.9915074309978769,0.7680921052631579,0.865616311399444,608
dann,DANN,horse,0.8178294573643411,0.25857843137254904,0.3929236499068901,816
dann,DANN,house,0.7090909090909091,0.975,0.8210526315789474,80
dann,DANN,person,0.06872852233676977,1.0,0.12861736334405144,160
cdan,CDAN,dog,0.1992772328342798,1.0,0.3323288850624193,772
cdan,CDAN,elephant,0.0,0.0,0.0,740
cdan,CDAN,giraffe,1.0,0.0199203187250996,0.0390625,753
cdan,CDAN,guitar,1.0,0.06085526315789474,0.11472868217054263,608
cdan,CDAN,horse,1.0,0.003676470588235294,0.007326007326007326,816
cdan,CDAN,house,0.0,0.0,0.0,80
cdan,CDAN,person,0.0,0.0,0.0,160
dan_lambda0_1,DAN (lambda=0.1),dog,0.6016483516483516,0.28367875647668395,0.3855633802816901,772
dan_lambda0_1,DAN (lambda=0.1),elephant,0.813953488372093,0.5675675675675675,0.6687898089171974,740
dan_lambda0_1,DAN (lambda=0.1),giraffe,0.7260765550239234,0.8061088977423638,0.764002517306482,753
dan_lambda0_1,DAN (lambda=0.1),guitar,0.9929947460595446,0.9325657894736842,0.9618320610687023,608
dan_lambda0_1,DAN (lambda=0.1),horse,0.8406909788867563,0.5367647058823529,0.6551982049364248,816
dan_lambda0_1,DAN (lambda=0.1),house,0.4419889502762431,1.0,0.6130268199233716,80
dan_lambda0_1,DAN (lambda=0.1),person,0.15319148936170213,0.9,0.26181818181818184,160
dan_lambda10,DAN (lambda=10),dog,0.0,0.0,0.0,772
dan_lambda10,DAN (lambda=10),elephant,0.0,0.0,0.0,740
dan_lambda10,DAN (lambda=10),giraffe,0.0,0.0,0.0,753
dan_lambda10,DAN (lambda=10),guitar,0.0,0.0,0.0,608
dan_lambda10,DAN (lambda=10),horse,0.0,0.0,0.0,816
dan_lambda10,DAN (lambda=10),house,0.0,0.0,0.0,80
dan_lambda10,DAN (lambda=10),person,0.04072283023670145,1.0,0.07825874296894106,160
