epoch,train_total_loss,train_classification_loss,train_domain_loss,train_domain_accuracy,train_gradient_reversal_strength,train_gradient_norm,mean_source_validation_accuracy,mean_source_validation_macro_f1,photo_validation_accuracy,photo_validation_macro_f1,art_painting_validation_accuracy,art_painting_validation_macro_f1,cartoon_validation_accuracy,cartoon_validation_macro_f1
1,1.1189316470398862,0.5033711936706916,0.6155604495961442,0.7695869139881215,0.08260915396485327,13.404988467183887,0.8542986936834117,0.8432327921044059,0.9011976047904192,0.8854047999805333,0.7853658536585366,0.7697899393503699,0.8763326226012793,0.8745036369823145
2,0.9287430455542018,0.2393835169625365,0.6893595266036499,0.5740740906096932,0.24408614972972462,10.309035187348341,0.9183065560594449,0.9137567105917692,0.9520958083832335,0.9430059213062024,0.8902439024390244,0.879478589819979,0.9125799573560768,0.9187856206491263
3,0.9058100782398485,0.18665700823563136,0.7191530705517174,0.46821582664409256,0.39309897089106405,9.788313648002779,0.9068951908445837,0.901613093337826,0.9401197604790419,0.9331438434206794,0.8658536585365854,0.8528584173371813,0.9147121535181236,0.9188370192556176
4,0.8627463563894614,0.15440397952289248,0.7083423751541692,0.4868233765547092,0.524007064027664,9.169088123063755,0.9293570848837455,0.9303582337992102,0.9550898203592815,0.9501994546353426,0.8926829268292683,0.8934910043012778,0.9402985074626866,0.9473842424610103
5,0.7918627603441222,0.11785955909459502,0.674003202181596,0.6009615554004653,0.6341237120139294,7.460830297225561,0.9326383687977936,0.9343141034541088,0.9670658682634731,0.9613855702612077,0.8926829268292683,0.8954725251906934,0.9381663113006397,0.9460842149104253
6,0.8274908901279808,0.09440920490747404,0.7330816854269077,0.4578881901171472,0.7234125302897559,7.354161739731446,0.9414400695722289,0.9409241974844992,0.9730538922155688,0.9671668165802157,0.9024390243902439,0.9035649341026737,0.9488272921108742,0.9520408417706081
7,0.7843508460582831,0.09962270447652131,0.6847281433068789,0.5498575654804198,0.7936789024079967,7.62759600719835,0.9294692221464814,0.9284471590040903,0.937125748502994,0.9282771366156634,0.9195121951219513,0.918278209691932,0.9317697228144989,0.9387861307046753
8,0.7973373073797959,0.08836310569276042,0.7089742014550755,0.5167379055777167,0.8476826612256531,6.71411400141879,0.9094461864144195,0.9111039443063028,0.9550898203592815,0.9518887714130262,0.8585365853658536,0.8618737986664672,0.9147121535181236,0.919549262839415
9,0.7801515044819596,0.0936428133847787,0.68650868968067,0.5721154004080683,0.8884368416590568,7.388296655610076,0.9261050523634203,0.9251728674116434,0.9550898203592815,0.94643898082051,0.8829268292682927,0.8831348679889136,0.9402985074626866,0.9459447534255069
10,0.782866771149839,0.07814725359380995,0.7047195190038437,0.5303597026146375,0.9187699538520259,6.461370156234146,0.9116761640274499,0.904691789563964,0.9401197604790419,0.9324232550282375,0.8951219512195122,0.89087048800434,0.8997867803837953,0.8907816256593145
11,0.7778366312511966,0.06476952682746002,0.7130671049285139,0.47150998422477997,0.9411150278189243,6.337309597649126,0.9231501529677657,0.9210955324408028,0.9401197604790419,0.9324389368586818,0.8975609756097561,0.8972807517913608,0.9317697228144989,0.9335669086723658
