run_name,selected_epoch,mean_accuracy,worst_accuracy,mean_macro_f1,worst_macro_f1,source_domain_separability,sharpness_base_loss,sharpness_perturbed_loss,sharpness_loss_increase,photo_accuracy,photo_macro_f1,art_painting_accuracy,art_painting_macro_f1,cartoon_accuracy,cartoon_macro_f1
erm,5,0.9420876381305723,0.9146341463414634,0.9400823188010742,0.9124889960433283,0.8504983388704319,0.16081546247005463,0.38631394505500793,0.2254984825849533,0.9670658682634731,0.959265811587793,0.9146341463414634,0.9124889960433283,0.9445628997867804,0.9484921487721011
dan_dg_lambda0_1,5,0.9411723539244253,0.9097560975609756,0.9401550041745041,0.9121928076641733,0.7541528239202658,0.1751774549484253,1.8016201257705688,1.6264426708221436,0.9670658682634731,0.9612494520047337,0.9097560975609756,0.9121928076641733,0.9466950959488273,0.9470227528546056
dan_dg,8,0.9131067834687897,0.8682926829268293,0.908149413392563,0.8643519190997989,0.6212624584717608,0.25695139169692993,83.70565795898438,83.4487075805664,0.937125748502994,0.9243387722367004,0.8682926829268293,0.8643519190997989,0.9339019189765458,0.9357575488411897
dan_dg_lambda10,4,0.21656837139595686,0.17270788912579957,0.05066996495567924,0.04207792207792208,0.6677740863787376,1.9905401468276978,8.63289737701416,6.642357349395752,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208
sam,8,0.9556259990290364,0.9219512195121952,0.9551928209681728,0.922728056637144,0.840531561461794,0.1414080709218979,0.30321577191352844,0.16180770099163055,0.9790419161676647,0.9749243661897221,0.9219512195121952,0.922728056637144,0.9658848614072495,0.9679260400776526
