epoch,train_total_loss,train_classification_loss,train_alignment_loss,train_mmd_bandwidth,mean_source_validation_accuracy,mean_source_validation_macro_f1,worst_source_validation_accuracy,worst_source_validation_macro_f1,photo_validation_accuracy,photo_validation_macro_f1,art_painting_validation_accuracy,art_painting_validation_macro_f1,cartoon_validation_accuracy,cartoon_validation_macro_f1
1,6.187970367391059,1.9479962257628745,0.4239974061859415,4.488925135805511,0.14507816236059787,0.03613773744254439,0.12366737739872068,0.0314448359989157,0.16766467065868262,0.041025641025641026,0.14390243902439023,0.035942735303076456,0.12366737739872068,0.0314448359989157
2,5.066424726932607,1.9412198766748956,0.31252048004497873,2.4325808042587906e-06,0.21656837139595686,0.05066996495567924,0.17270788912579957,0.04207792207792208,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208
3,5.062359237670899,1.9400192428142466,0.31223399381529776,0.0005857074553650238,0.21656837139595686,0.05066996495567924,0.17270788912579957,0.04207792207792208,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208
4,5.328388093887491,1.9359840215520656,0.3392404010459939,1.9012538844416417e-05,0.21656837139595686,0.05066996495567924,0.17270788912579957,0.04207792207792208,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208
5,3.10309466909855,1.9345339354048383,0.11685607015710087,1.0339540373953492e-06,0.21656837139595686,0.05066996495567924,0.17270788912579957,0.04207792207792208,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208
6,2.13834414380662,1.9273571775314655,0.021098695460092673,2.7228447127894703e-06,0.21656837139595686,0.05066996495567924,0.17270788912579957,0.04207792207792208,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208
7,1.990225121822763,1.920865758936456,0.006935936229754279,1.0000001111620804e-06,0.21656837139595686,0.05066996495567924,0.17270788912579957,0.04207792207792208,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208
