epoch,train_total_loss,train_classification_loss,train_sam_perturbed_loss,train_sam_loss_increase,mean_source_validation_accuracy,mean_source_validation_macro_f1,worst_source_validation_accuracy,worst_source_validation_macro_f1,photo_validation_accuracy,photo_validation_macro_f1,art_painting_validation_accuracy,art_painting_validation_macro_f1,cartoon_validation_accuracy,cartoon_validation_macro_f1
1,0.9642716875443091,0.6332366681124411,0.9642716875443091,0.33103501949554837,0.9004986023584429,0.8952565008245482,0.8658536585365854,0.8537152542176292,0.9401197604790419,0.9326852646551689,0.8658536585365854,0.8537152542176292,0.8955223880597015,0.8993689836008467
2,0.4870018570596336,0.22545330347413692,0.4870018570596336,0.2615485533944562,0.9206093922716737,0.9217308154015716,0.8975609756097561,0.8978669207556244,0.9580838323353293,0.9509739866254031,0.8975609756097561,0.8978669207556244,0.906183368869936,0.9163515388236875
3,0.3722440203030904,0.1534294332895014,0.3722440203030904,0.21881458733198988,0.9261780770457628,0.9284816631469713,0.8951219512195122,0.8994798188333926,0.9431137724550899,0.9401487240550447,0.8951219512195122,0.8994798188333926,0.9402985074626866,0.9458164465524768
4,0.29846683049049133,0.10973594336507794,0.29846683049049133,0.18873088733635396,0.9381053172660349,0.9381109547220894,0.8975609756097561,0.899054646049586,0.9700598802395209,0.963197846532708,0.8975609756097561,0.899054646049586,0.9466950959488273,0.9520803715839742
5,0.23541517697402045,0.0790221340691623,0.23541517697402045,0.15639304301231846,0.9243480484036866,0.923569099566229,0.8951219512195122,0.8953203044139418,0.9610778443113772,0.9550191472646408,0.8951219512195122,0.8953203044139418,0.9168443496801706,0.9203678470201042
6,0.20409844529170257,0.056336416943002746,0.20409844529170257,0.14776202796711627,0.9495505945828454,0.9496359233235356,0.9195121951219513,0.9190775266557154,0.9760479041916168,0.9719640620587132,0.9195121951219513,0.9190775266557154,0.9530916844349681,0.957866181256178
7,0.16123987385668817,0.04001901152893964,0.16123987385668817,0.12122086203123769,0.9497355904447801,0.9495771918633403,0.9170731707317074,0.9172074632145862,0.9790419161676647,0.9745019929893879,0.9170731707317074,0.9172074632145862,0.9530916844349681,0.9570221193860464
8,0.14967721851908752,0.03174653061457639,0.14967721851908752,0.11793068765750171,0.9556259990290364,0.9551928209681728,0.9219512195121952,0.922728056637144,0.9790419161676647,0.9749243661897221,0.9219512195121952,0.922728056637144,0.9658848614072495,0.9679260400776526
9,0.13639075103669596,0.02536998462662276,0.13639075103669596,0.11102076642151572,0.9410993292420827,0.9374862267916478,0.8975609756097561,0.8906893729043365,0.9790419161676647,0.9746021422748452,0.8975609756097561,0.8906893729043365,0.9466950959488273,0.9471671651957617
10,0.1190952211459223,0.017882637351225965,0.1190952211459223,0.10121258359768578,0.9498229709388752,0.9498364519550547,0.9195121951219513,0.9209903362880985,0.9640718562874252,0.9588582715288375,0.9195121951219513,0.9209903362880985,0.9658848614072495,0.9696607480482283
11,0.11177010632430513,0.015257368878656441,0.11177010632430513,0.0965127374849513,0.9433338014801954,0.9423829767010501,0.9,0.8975487406660932,0.9790419161676647,0.9749693130697447,0.9,0.8975487406660932,0.9509594882729211,0.9546308763673121
12,0.10749867618378475,0.012639632990208661,0.10749867618378475,0.09485904343871988,0.9563562873732487,0.9544530647168908,0.9292682926829269,0.9250575226478327,0.9760479041916168,0.9717431774803892,0.9292682926829269,0.9250575226478327,0.9637526652452025,0.9665584940224505
13,0.09675859862194261,0.012169318809503596,0.09675859862194261,0.08458927985276772,0.9468438545447978,0.9468423760315577,0.9195121951219513,0.919173341699618,0.9700598802395209,0.9648794210048734,0.9195121951219513,0.919173341699618,0.9509594882729211,0.9564743653901818
