epoch,train_total_loss,train_classification_loss,train_alignment_loss,train_mmd_bandwidth,mean_source_validation_accuracy,mean_source_validation_macro_f1,worst_source_validation_accuracy,worst_source_validation_macro_f1,photo_validation_accuracy,photo_validation_macro_f1,art_painting_validation_accuracy,art_painting_validation_macro_f1,cartoon_validation_accuracy,cartoon_validation_macro_f1
1,0.5064126140259682,0.4661199304176138,0.4029268274915979,1473.0089419101148,0.9055076388385017,0.903999922436315,0.8634146341463415,0.861469090777386,0.9341317365269461,0.9271599285884496,0.8634146341463415,0.861469090777386,0.9189765458422174,0.9233707479431095
2,0.25230867005092034,0.21713074650219147,0.351779228829323,1367.5455244348404,0.908458043609074,0.910678246601893,0.8829268292682927,0.8877469615691024,0.9341317365269461,0.9281997893481108,0.8829268292682927,0.8877469615691024,0.908315565031983,0.916087988888466
3,0.17613280643015466,0.1419138656077074,0.3421894001199844,1222.2174602102725,0.9112232864345676,0.9123475167281597,0.8634146341463415,0.8604610802344383,0.9640718562874252,0.9602915020257929,0.8634146341463415,0.8604610802344383,0.906183368869936,0.9162899679242477
4,0.13551628828999843,0.10140156045338099,0.3411472774566488,1048.3398242706949,0.9259101953148153,0.9248610759344312,0.8609756097560975,0.8579414217000689,0.9700598802395209,0.9640167061965352,0.8609756097560975,0.8579414217000689,0.9466950959488273,0.9526250999066896
5,0.1128112211902725,0.07940000782255083,0.3341121291226529,928.9554643346909,0.9310762218866651,0.9349287833779097,0.908315565031983,0.9198223007824797,0.9580838323353293,0.9524718204372223,0.926829268292683,0.9324922289140269,0.908315565031983,0.9198223007824797
6,0.08701721342637184,0.05525102921404896,0.31766183388994096,791.2419585532331,0.904855409571932,0.903874755974051,0.8439024390243902,0.8407787141294503,0.9580838323353293,0.9516929636193189,0.8439024390243902,0.8407787141294503,0.9125799573560768,0.919152590173384
7,0.07087727322223339,0.03804566207530096,0.32831610485594326,694.8760848674368,0.9417612536121786,0.9419455326807457,0.9,0.901594393899288,0.9700598802395209,0.9643917789393023,0.9,0.901594393899288,0.9552238805970149,0.9598504252036467
8,0.06830059751234156,0.03625984131903487,0.32040755653634984,576.4179297913896,0.9345028493120369,0.932646966204049,0.9,0.8995790647071834,0.9610778443113772,0.9529985361295059,0.9,0.8995790647071834,0.9424307036247335,0.9453632977754575
9,0.06891709045368306,0.03689043084456724,0.3202665904734997,503.3177964230801,0.9480607665006978,0.9482892689127201,0.9146341463414634,0.9165505262520102,0.9700598802395209,0.9655577481415646,0.9146341463414634,0.9165505262520102,0.9594882729211087,0.9627595323445858
10,0.055106298673026105,0.02348045683911744,0.316258412726382,426.8585038854721,0.9463911430350594,0.9455490207399434,0.9292682926829269,0.9314170728063258,0.9610778443113772,0.953361128814138,0.9292682926829269,0.9314170728063258,0.9488272921108742,0.9518688605993664
11,0.057880061833148304,0.02718881679787994,0.30691244469044054,402.84598206865024,0.9209741835170991,0.9223670186579133,0.875609756097561,0.8811717607747706,0.9640718562874252,0.9560913381660371,0.875609756097561,0.8811717607747706,0.9232409381663113,0.9298379570329323
12,0.05947694672231978,0.027080316523070188,0.32396629706342167,360.0067473066614,0.9366982089697561,0.9381527065007411,0.8878048780487805,0.891626881916606,0.9670658682634731,0.9624171424526858,0.8878048780487805,0.891626881916606,0.9552238805970149,0.9604140951329313
13,0.05946378333771483,0.028694666610000297,0.3076911628246307,316.34115886282416,0.9363477735360833,0.9342623600943777,0.9,0.8988771171574481,0.9580838323353293,0.9491113944249356,0.9,0.8988771171574481,0.9509594882729211,0.9547985687007492
14,0.05453808551773112,0.02219562758146686,0.3234245714989114,281.25236108658163,0.9326722808997429,0.9334800093577768,0.8902439024390244,0.8936103605713764,0.9610778443113772,0.9541147225090171,0.8902439024390244,0.8936103605713764,0.9466950959488273,0.952714944992937
